BOS please show me airlines with flights from dallas to nashville stop burbank EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name atis_airline
BOS please give me round trip fares from brooklyn to toronto EOS	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what time are the flights leaving from tampa to montreal on august seventh EOS	B-flight_time O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS what is the ground transportation available in oakland EOS	O O O O O O B-city_name atis_ground_service
BOS what airlines fly between newark and san francisco EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS what is the cheapest one way fare from nashville to la EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what ground transportation is available in oakland EOS	O O O O O B-city_name atis_ground_service
BOS what is the cost of continental airlines flight 415 from milwaukee to las vegas tuesday afternoon EOS	O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS is there ground transportation from the boston airport to downtown boston EOS	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS show me the fares for a 1st class ticket from milwaukee to seattle EOS	O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many 1st class flights does midwest have today EOS	O B-class_type I-class_type O O B-airline_name O B-depart_date.today_relative atis_quantity
BOS show me all fares from kansas city to montreal leaving on a thursday EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name atis_airfare
BOS what ground transportation is available from the baltimore airport to downtown baltimore EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS show me about the ground transportation in dallas EOS	O O O O O O B-city_name atis_ground_service
BOS what is lowest cost air fare available for a fly from savannah to baltimore arriving on july 4th EOS	O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number atis_airfare
BOS bring me the cheapest fare from worcester to baltimore EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me prices and times for 1st class travel from queens to hartford next summer EOS	O O O B-flight_time O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O O atis_airfare
BOS i will be staying downtown in pittsburgh for two hours could you tell me what the ground transportation is available EOS	O O O O O B-city_name O O O O O O O O O O O O O atis_ground_service
BOS show me economy fares from la to milwaukee EOS	O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the price for these flights from baltimore to philadelphia EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS does any airline have an noon flight from charlotte to austin EOS	O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what are the lowest one way fares from montreal to dallas EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS id like to find the least expensive one way fare from sanford to hartford EOS	O O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what time are flights from ontario to bay area on delta airline EOS	B-flight_time O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_flight_time
BOS round trip air fares from riverside to seattle less than 1000 dollars EOS	I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS which airlines have 1st class flights today EOS	O O B-class_type I-class_type O B-depart_date.today_relative atis_airline
BOS show me the ground transportation schedule in philly in the morning on tue EOS	O O O O O O B-city_name O O B-period_of_day O B-day_name atis_ground_service
BOS while im in sanford what ground transportation is available EOS	O O B-city_name O O O O O atis_ground_service
BOS what is the fare on avelo 271 from newark to fort worth EOS	O O O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS hwo many fares are there one wey from tacoma to montreal EOS	O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_quantity
BOS show me all prices of economy from tampa to burbank EOS	O O O O B-economy O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please show me airlines with flights from brooklyn to austin with stop in riverside EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name atis_airline
BOS i want a one way ticket from cleveland to hartford EOS	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me any show me what the first class fares are of the flights from toronto to san jose on tue EOS	O O O O O O B-class_type I-class_type O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_airfare
BOS i would loke the tome your earliest flight from washington for philadelphia EOS	O O O B-flight_time O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS please give me the prices for all flights from manhattan to ny airport next friday EOS	O O O O O O O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name atis_airfare
BOS what is the fare on the first flight from boston to ottawa on sun morning EOS	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS i would like information on ground transportation in the city of memphis from airport to downtown EOS	O O O O O O O O O O B-city_name O O O O atis_ground_service
BOS what are the most expensive 1st class ticket between atlanta and melbourne EOS	O O B-cost_relative I-cost_relative B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what ground transportation is available from the montreal airport EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name atis_ground_service
BOS round trip fares from toronto to montreal under 1000 dollars EOS	I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount atis_airfare
BOS all right what id like to do is find the cheapest one way fare from appleton to queens EOS	O O O O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS which airlines have 1st class flights today EOS	O O B-class_type I-class_type O B-depart_date.today_relative atis_airline
BOS economy fares san francisco to miami round trip EOS	O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_airfare
BOS what airlines have nonstop early night flights from bristol to ottawa EOS	O O B-flight_stop B-depart_time.period_of_day B-arrive_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS is there any ground transportation to the dallas fort worth EOS	O O O O O O B-city_name I-city_name I-city_name atis_ground_service
BOS what transportation is available from the hartford airport to downtown EOS	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O atis_ground_service
BOS how many cities are served by avelo airlines with 1st class flights EOS	O O O O O B-airline_name I-airline_name O B-class_type I-class_type O atis_quantity
BOS are there any airlines that have flights from newark to dallas that leave before 630 pm EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_airline
BOS which airlines fly between montreal and st louis EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS round trip fares st louis to san jose EOS	I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the cheapest fare from hartford to las vegas EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS id like information on the least expensive airfare round trip from montreal to philadelphia EOS	O O O O B-cost_relative I-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS i will need a car at port land EOS	O O O B-transport_type O B-city_name I-city_name atis_ground_service
BOS is there transportation from the memphis airport to downtown memphis EOS	O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS fares between riverside and austin EOS	O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS cheapest round trip airfare from oakland to cleveland EOS	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS id like to buy a coach class ticket from ontario to appleton with a stopover in pittsburgh EOS	O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_airfare
BOS ground transportation nashville EOS	O B-city_name atis_ground_service
BOS what is the fare going from boston to city in dallas one way on may seventh EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-round_trip I-round_trip O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS what airlines fly from south dakota to newark and from newark to appleton EOS	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what is the fare going one way on jan seventh from cleveland to philadelphia EOS	O O O O B-round_trip I-round_trip O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the airfare from la to minneapolis EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS dl 296 ottawa to montreal what is the fare EOS	B-flight_number B-fromloc.city_name O B-toloc.city_name O O O O atis_airfare
BOS round trip fares from austin to boston less than 1500 dollars EOS	I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS list types of aircraft that fly between stratford and san diego EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_aircraft
BOS please give me ground transportation information between city of boston airport and downtown boston EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS jul seventh what is the cost of a round trip ticket traveling first class on united airline leaving from queens going to philadelphia EOS	B-depart_date.day_number O O O O O O B-round_trip I-round_trip O O B-class_type I-class_type O B-airline_name I-airline_name O O B-fromloc.city_name O O B-toloc.city_name atis_airfare
BOS when does northwest fly from ontario to stratford on sundays EOS	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight_time
BOS what ground transportation is available in appleton EOS	O O O O O B-city_name atis_ground_service
BOS what planes does midwest use EOS	O O B-airline_name O atis_aircraft
BOS show me fares from montreal to las vegas on fri afternoon EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS what is the lowest fare from ottawa to ny EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the first class fare for a round trip stratford to bristol EOS	O O B-class_type I-class_type O O O B-round_trip I-round_trip B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS which airlines have flights from north carolina to washington by way of riverside EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name atis_airline
BOS what is the cheapest fare between orlando and colorado springs EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS show me times for flights from st louis to tampa EOS	O B-flight_time O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS okay ive got somebody else who wants to take a round trip ticket from newark to tampa EOS	O O O O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please give me the flight times i would like to fly from nashville to toronto in the morning before 9 EOS	O O O B-flight_time I-flight_time O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time atis_flight_time
BOS how many 1st class flights are provided by tower air EOS	O B-class_type I-class_type O O O O B-airline_name I-airline_name atis_quantity
BOS information on ground transportation in baltimore EOS	O O O O B-city_name atis_ground_service
BOS can you show me what fares are available from montreal to milwaukee on jan sixteenth one way only EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-round_trip I-round_trip O atis_airfare
BOS please give grounds transportation at seattle airport EOS	O O O O B-airport_name I-airport_name atis_ground_service
BOS in denver what sort of ground transportation is there from the airdrome to downtown EOS	B-city_name O O O O O O O O O O O O atis_ground_service
BOS is there ground transportation from the appleton airport to downtown appleton EOS	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS is ground transportation available in manhattan EOS	O O O O B-city_name atis_ground_service
BOS how much does flight ua 281 from baltimore to denver cost EOS	O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O atis_airfare
BOS id like to know the price of first class seats from atlanta to ny city EOS	O O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS list types of planes that fly between montreal and indianapolis EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS what airlines fly from san jose to ny to los angeles EOS	O O O B-fromloc.city_name I-fromloc.city_name O B-stoploc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS ground transportation riverside EOS	O B-city_name atis_ground_service
BOS ground transportation in dallas EOS	O O B-city_name atis_ground_service
BOS show me the prices of 1st class tickets on united airlines round trip from baltimore to manhattan EOS	O O O O B-class_type I-class_type O O B-airline_name I-airline_name B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please show me airlines with flights from ottawa to burbank EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what kind of airplane goes from tampa to los angeles before afternoon EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time atis_aircraft
BOS cheapest airfare from appleton to austin EOS	O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what type of aircraft are used on flights from memphis to seattle that leave before night EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time atis_aircraft
BOS what is the lowest cost fare that midwest has between boston and san jose EOS	O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the cheapest coach fare from manhattan to dallas round trip EOS	O O B-cost_relative B-class_type O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_airfare
BOS all right would you let me know type of aircraft lufthansa airline is using on the flights from riverside to bay area i would like to know the type of aircraft that they use on these flights before 6 in the afternoon EOS	O O O O O O O O O B-airline_name I-airline_name O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O O O O O O O O O O B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day atis_aircraft
BOS i want the cheapest one way transportation from texas to atlanta please EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O atis_airfare
BOS okay i would like to hear the type of aircraft flying on a project from mexico to dallas please EOS	O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_aircraft
BOS first class round trip coach from indiana to memphis EOS	I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS ground transportation please in the dallas fort worth between airport and downtown EOS	O O O O B-city_name I-city_name I-city_name O O O O atis_ground_service
BOS us 3724 oakland to boston what is the round trip fare EOS	B-flight_number B-fromloc.city_name O B-toloc.city_name O O O B-round_trip I-round_trip O atis_airfare
BOS show me a list of ground transportation at memphis EOS	O O O O O O O B-city_name atis_ground_service
BOS i would like a ticket leaving from burbank kentucky to columbus arizona with a stop in pittsburgh EOS	O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O O O O B-stoploc.city_name atis_airfare
BOS please list the flight times for memphis to cleveland EOS	O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS price of flight from bristol to memphis EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS is there ground transportation in st paul EOS	O O O O B-city_name I-city_name atis_ground_service
BOS show me ground transportation information for city in dallas EOS	O O O O O B-city_name I-city_name I-city_name atis_ground_service
BOS list the total number of flights to all airports by avelo EOS	O O O O O O O O O B-airline_name atis_quantity
BOS can i have a rental car in philly EOS	O O O B-transport_type I-transport_type O B-city_name atis_ground_service
BOS please list the flight times from burbank to manhattan EOS	O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS what airlines fly between montreal and st paul and stop in orlando EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name atis_airline
BOS how many continental flights are there from san diego please EOS	O B-airline_name O O O O B-fromloc.city_name I-fromloc.city_name O atis_quantity
BOS what is the schedule for flights between denver and appleton on the noon of feb ninth EOS	O O B-flight_time I-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS ill need a rental car at the philly airport can you show me whats available EOS	O O B-transport_type I-transport_type O O B-airport_name I-airport_name O O O O O O atis_ground_service
BOS show me airlines going from oakland going to austin and then continuing to san francisco on wednesday EOS	O O O O B-fromloc.city_name O O B-toloc.city_name O O O O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_airline
BOS could you give me the schedule of flights for lufthansa and lufthansa to dfw on november fifteenth EOS	O O O O B-flight_time O O O B-airline_name O B-airline_name O B-toloc.airport_code O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS show me all the afternoon fares between brooklyn and port land EOS	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS tell me about ground transportation between pittsburgh international and pittsburgh EOS	O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name atis_ground_service
BOS which airlines fly from newark to colorado springs and have a stopover in denver EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name atis_airline
BOS which airlines fly from baltimore to washington dc via other areas EOS	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O atis_airline
BOS how much does it cost to fly from atlanta to los angeles EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS id like to have some information on a ticket from queens to memphis and hartford EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name atis_airfare
BOS whats the price of the least expensive first class round trip ticket on midwest airline from la to philadelphia EOS	O O O O B-cost_relative I-cost_relative B-class_type I-class_type B-round_trip I-round_trip O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what kinds of ground transportation is available in new york city EOS	O O O O O O O B-city_name I-city_name I-city_name atis_ground_service
BOS how much does it cost to fly directly from montreal to san francisco on united airlines EOS	O O O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_airfare
BOS someone wants a flight from denver to atlanta with a stopover in alaska is this possible EOS	O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O O atis_airfare
BOS which airlines fly between tacoma and houston EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what is the price of a flight from oakland to kansas EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS can you show me the economy fare flights from charlotte to pittsburgh EOS	O O O O B-economy O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is lowest cost air fare available for a flight from indianapolis to minneapolis arriving on august fourth EOS	O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number atis_airfare
BOS what is the cost of a 1st class ticket from dallas fort worth to san francisco EOS	O O O O O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the cheapest round trip fare on united 1291 round trip denver san francisco EOS	O O B-cost_relative B-round_trip I-round_trip O O B-airline_name B-flight_number B-round_trip I-round_trip B-fromloc.city_name B-fromloc.city_name I-fromloc.city_name atis_airfare
BOS what is the cost of a round trip ticket 1st class between oak and atl EOS	O O O O O B-round_trip I-round_trip O B-class_type I-class_type O B-fromloc.airport_code O B-toloc.airport_code atis_airfare
BOS how much does the continental airlines flight 71 from stratford to port land cost EOS	O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O atis_airfare
BOS show me fares for flights from oakland to toronto on october first 1993 EOS	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-depart_date.year atis_airfare
BOS show me the cheapest round trip fare from syracuse to mavericks EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me first class airlines from salt lake to riverside on next sunday first class only EOS	O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name B-class_type I-class_type O atis_airline
BOS first class round trip airfare from brooklyn to tampa EOS	I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS does any airline have an early night flight from burbank to riverside EOS	O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS toronto ground transportation EOS	O O atis_ground_service
BOS how many first class flights does air canada have departing from nashville today EOS	O B-class_type I-class_type O O B-airline_name I-airline_name O O O B-fromloc.city_name B-depart_date.today_relative atis_quantity
BOS what ground transportation is available from the sanford airport to downtown and how much does it cost EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O O O O O atis_ground_service
BOS what airlines have flights from memphis to ottawa EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS i would like the noon schedule of flights from san francisco to washington EOS	O O O B-depart_time.period_of_day B-flight_time O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS what would be cost of a round trip from pittsburgh to port land EOS	O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what are economy fares from desperados to baltimore EOS	O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS round trip fares from philadelphia to sanford under 1000 dollars EOS	I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount atis_airfare
BOS show me round trip tickets from santa monica to la EOS	O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the cheapest transportation one way between pittsburgh and denver EOS	O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the round trip tickets from tampa to charlotte EOS	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS train to detroit EOS	O B-city_name atis_ground_service
BOS what is the cheapest fare from washington to las vegas EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS please show me airlines with service from appleton to houston EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS whats the lowest round trip fare from burbank to orlando EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS tell me which airlines have flights from atlanta to st louis on sunday feb second EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number atis_airline
BOS what is the available ground transportation between san diego and downtown EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O O atis_ground_service
BOS how many 1st class flights does nationair have leaving from all airports today EOS	O B-class_type I-class_type O O B-airline_name O O O O O B-depart_date.today_relative atis_quantity
BOS show ground transportation for orlando EOS	O O O B-city_name atis_ground_service
BOS what is your least expensive fare between oakland and manhattan EOS	O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS which airlines have flights between newark and toronto EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS information about ground transportation from airdrome to downtown madison EOS	O O O O O O O B-toloc.city_name atis_ground_service
BOS is eastern airlines EOS	B-airline_name I-airline_name atis_airline
BOS ground transportation charlotte EOS	O B-city_name atis_ground_service
BOS i need information on ground transportation from the airport in burbank EOS	O O O O O O O O O B-fromloc.city_name atis_ground_service
BOS what ground transportation is there from the airport in burbank to downtown EOS	O O O O O O O O B-fromloc.city_name O O atis_ground_service
BOS could you please give me the round trip fare from seattle to milwaukee EOS	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what airplane types fly from hartford to charlotte EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS what airlines from washington dc to manhattan EOS	O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name atis_airline
BOS what is the coach fare between cleveland and philadelphia on nationair EOS	O O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-airline_name atis_airfare
BOS what are the coach fares from sanford to brooklyn tue morning EOS	O O B-class_type O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS list all round trip fares from nashville to washington dc EOS	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code atis_airfare
BOS is there ground transportation from the queens airport to the downtown area EOS	O O O O O B-airport_name I-airport_name O O O O atis_ground_service
BOS show fares and flights from pittsburgh to tampa EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please show me airlines with flights from nashville to indianapolis EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what are the fares for flights from appleton to queens on wednesday and tuesday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_name atis_airfare
BOS list a round trip fare from san francisco to philly flights EOS	O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O atis_airfare
BOS list all round trip fares from new jersey to washington EOS	O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what type of aircraft leaving burbank to nashville EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS which airline offers the cheapest rate going from minneapolis to seattle on august fourth EOS	O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_airline
BOS what type of aircraft leaves from houston to washington dc at 3 am EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_time.time I-depart_time.time atis_aircraft
BOS show me fares less than 400 dollars for flights from nashville to la EOS	O O B-cost_relative O B-fare_amount I-fare_amount O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what times on mon could i take a plane from indianapolis to nashville EOS	B-flight_time O B-depart_date.day_name O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS what are the fares from nashville to fort worth on flight dl 217 EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-airline_code B-flight_number atis_airfare
BOS what is the price of united airline flight 19 from st louis to port land EOS	O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS show me the 1st class fares from baltimore to dallas EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the available ground transportation between the airport in burbank and downtown EOS	O O O O O O O O O B-fromloc.city_name O O atis_ground_service
BOS whats the affordable flights from san francisco to baltimore EOS	O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the price of a first class ticket from orlando to port land EOS	O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
